Year,County,Site Name,X,Y
2018,Mountrail,MOU-Lostwood NWR,-102.421158,48.545219
2018,McIntosh,Mund WPA,-99.074455,46.282275
2018,Ramsey,Myrvik WPA,-98.343133,48.441652
2018,Nelson,NEL-149-061-20,-98.491271,47.706032
2018,Nelson,NEL-149-061-36,-98.404681,47.685755
2018,Towner,Nikolaisen WPA,-99.225514,48.593681
2018,Slope,Nordby,-103.263594,46.464736
2018,Stutsman,Northwestern Lake WPA,-99.194762,47.217251
2018,Oliver,OLI-143-082-16,-101.085543,47.204106
2018,LaMoure,Olson,-98.054155,46.491558
2018,Benson,Orts,-99.675078,47.901445
2018,Steele,Otto Spies WMA,-97.599323,47.289063
2018,Cavalier,Pembina Hills WMA,-98.00239,48.837486
2018,Kidder,Personius WPA,-99.74222,47.038139
2018,Ramsey,Phil Aus WPA,-98.594405,48.511771
2018,Pierce,PIE-154-074-16,-100.180333,48.164965
2018,Pierce,PIE-Weinmann,-100.010649,47.877676
2018,Ransom,RAN-Sheyenne NG 1,-97.38058,46.35765
2018,Burleigh,Rath/Wonnenburg WPA,-100.213645,47.198158
2018,Ransom,Reinke WPA,-98.022626,46.396626
2018,Renville,REN-162-086-36,-101.776377,48.810091
2018,Renville,REN-164-084-36,-101.515778,48.984273
2018,Renville,REN-Upper Souris NWR 3,-101.612967,48.610324
2018,Richland,RIC-136-052-36,-97.174484,46.555334
2018,Richland,RIC-Sheyenne NG 1,-97.24568,46.494841
2018,Oliver,Rob Schmidt,-101.017396,47.124546
2018,Steele,Rogers WPA,-97.659235,47.30469
2018,Rolette,ROL-160-071-36,-99.76435,48.643786
2018,Rolette,ROL-162-072-36,-99.926416,48.819053
2018,Steele,Salander WPA,-97.648853,47.338781
2018,Emmons,Schiermeister WPA,-100.498669,46.384451
2018,Cavalier,Schill,-98.493076,48.975313
2018,Billings,Shade,-103.454459,46.770196
2018,Sheridan,SHE-Lonetree WMA,-100.361296,47.70715
2018,Sioux,SIO-130-085-36,-101.255183,46.044503
2018,Sioux,SIO-130-090-36,-101.878311,46.045051
2018,Sioux,SIO-Cedar River NG 2,-101.817802,45.975756
2018,Kidder,Slade NWR,-99.705031,46.822269
2018,Slope,SLO-Little Missouri NG 1,-103.465067,46.481505
2018,Divide,Soo Grade WPA,-103.086317,48.905122
2018,Griggs,Southward,-98.343116,47.607465
2018,Williams,Spangrud WPA,-102.917872,48.611436
2018,Bowman,Spring Creek WMA,-103.304274,46.027754
2018,Pembina,Sproule,-97.523565,48.965597
2018,Grand Forks,Sproule North,-97.33599,48.083742
2018,Stark,STA-139-095-36,-102.618011,46.814448
2018,Stark,STA-140-094-16,-102.558015,46.946939
2018,Richland,Stack Slough WMA,-97.016363,46.099381
2018,Golden Valley,Stedman,-103.940409,47.121566
2018,Stutsman,STU-138-064-36,-98.710081,46.722026
2018,Eddy,Swan Lake WPA,-98.600932,47.63732
2018,McHenry,Taylor Central,-100.27408,48.203213
2018,McHenry,Taylor North,-100.320274,48.21774
2018,Sargent,Tewaukon NWR,-97.423001,46.012127
2018,LaMoure,Toay,-98.818396,46.478079
2018,McKenzie,Tobacco Gardens WMA,-103.696928,48.09799
2018,Traill,TRA-Sproule South,-97.174325,47.597353
2018,Dunn,Tuhy,-102.844794,47.319165
2018,Mountrail,Van Hook WMA,-102.428099,47.903968
2018,Emmons,Vander Vorst,-100.401195,46.084068
2018,Dunn,Voigt,-102.646382,47.433963
2018,Walsh,WAL-155-058-8,-98.141016,48.265137
2018,Ward,WAR-Finken,-101.548824,47.876078
2018,Ward,WAR-Upper Souris NWR,-101.586701,48.439912
2018,Wells,Weber WPA,-100.032844,47.599634
2018,Wells,WEL-149-069-36,-99.436155,47.687291
2018,Wells,Wells County WMA,-99.918125,47.549639
2018,Divide,Wenstad,-103.557625,48.708388
2018,Bowman,White,-103.419763,45.952504
2018,Benson,White Horse Hill NWR,-99.000219,47.970148
2018,Williams,WIL-156-101-16,-103.685391,48.33855
2019,Adams,ADA-130-092-36,-102.1365489,46.04421018
2019,Grand Forks,Agnes Marsh WPA,-97.72589558,48.08417295
2019,Walsh,Ardoch NWR,-97.33897898,48.25632012
2019,Burleigh,Art Brazda WMA,-100.3423166,47.32125872
2019,Stutsman,Audubon Brigham Cell 13,-98.59268956,47.0356946
2019,Mountrail,Audubon Wicks Cell 1,-102.1304171,48.29690423
2019,Barnes,BAR-142-059-12,-98.10745195,47.13408614
2019,LaMoure,Barr WPA,-98.98472093,46.58621079
2019,Benson,BEN-156-071-16,-99.79049679,48.3371204
