Code,Scientific Name,Common Name,
SALPET,Salix petiolaris,Meadow willow,
SATLIP,Satyrium liparops,Striped Hairstreak,
SCULAT,Scutellaria lateriflora,Mad-dog skullcap,
SENINT,Senecio integerrimus,Lambstongue ragwort,
SHEARG,,Shepherdia argentea,Silver buffaloberry
SILANT,Silene antirrhina,Sleepy catchfly,
SILCSE,,Silene csereii,Campion
SILLAT,Silene latifolia,White campion,
SILPER,Silphium perfoliatum,Cup plant,
SILVUL,Silene vulgaris,Bladder campion,
SINARV,Sinapis arvensis,Charlock,
SISALT,Sisymbrium altissimum,Tall tumble mustard,
SISCAM,Sisyrinchium campestre,Prairie blue eyed grass,
SISLOE,Sisymbrium loeselii,Tall hedge mustard,
SISMON,Sisyrinchium montanum,Mountain blue eyed grass,
SISMUC,Sisyrinchium mucronatum,Needle-pointed blue eyed grass,
SIUSUA,Sium suave,Water parsnip,
SOLCAN,Solidago canadensis,Canada goldenrod,
SOLDUL,Solanum dulcamara,Bittersweet nightshade,
SOLGIG,Solidago gigantea,Giant goldenrod,
Solidago sp.,Solidago,Goldenrods,
SOLMIS,Solidago missouriensis,Missouri goldenrod,
SOLMOL,Solidago mollis,Velvety goldenrod,
SOLNEM,Solidago nemoralis,Gray goldenrod,
SOLPTA,Solidago ptarmicoides,Upland white goldenrod,
SOLPTY,Solanum ptychanthum,Black nightshade,
SOLRIG,Solidago rigida,Stiff goldenrod,
SOLROS,Solanum rostratum,Buffalo bur nightshade,
SOLSPE,Solidago speciosa,Showy goldenrod,
SOLTRI,,Solidago tristis,Downy goldenrod
SOLULI,,Solidago ulmifolia,Elmleaf goldenrod
SONARV,Sonchus arvensis,Sowthistle,
SONULI,,Solidago ulmifolia,Elmleaf goldenrod
SPE spp,Speyeria,Greater Fritillaries,
SPEEDW,Speyeria edwardsii,Edwards' fritillary,
SPHCOC,Sphaeralcea coccinea,Scarlet globemallow,
SPIALB,Spiraea alba,White meadowsweet,
STAHIS,Stachys hispida,Hairy hedge nettle,
STALON,,Stachys longispicata,Longspike hedgenettle
STAPAL,Stachys palustris,Marsh hedge nettle,
STAPIL,,Stachys pilosa,Hairy hedgenettle
STEGRA,Stellaria graminea,Lesser stitchwort,
STELON,Stellaria longifolia,Long-leaf starwort,
STELONGIFOLIA,,Steironema longifolia,Longleaf loosestrife
STRMEL,Strymon melinus,Gray hairstreak,
SUISUA,,Suillus suaveolens,Slippery jack
SYMBOR,Symphyotrichum boreale,Northern bog aster,
SYMCIL,,Symphyotrichum ciliolatum,Lindley's aster
SYMEAT,,Symphyotrichum eatonii,
SYMERF,,Symphyotrichum ericoides,White heath aster
SYMERI,Symphyotrichum ericoides,White heath aster,
SYMFAL,Symphyotrichum falcatum,White prairie aster,
SYMLAE,Symphyotrichum laeve,Smooth blue aster,
SYMLAN,Symphyotrichum lanceolatum,Panicled aster,
SYMNOV,Symphyotrichum novae-angliae,New England aster,
SYMOBL,Symphyotrichum oblongifolium,Aromatic aster,
SYMOCC,Symphoricarpos occidentalis,Western snowberry,
SYMPAL,,Symphyotrichum paleaceum,
Symphyotrichum sp.,Symphyotrichum,American asters,
SYMPIL,Symphyotrichum pilosum,Awl aster,
SYMPUN,Symphyotrichum puniceum,Purple stemmed aster,
SYMSER,Symphyotrichum sericeum,Silky aster,
SYSMON,,Symphyotrichum montanum,Rocky Mountain aster
SYSMUC,,Symphyotrichum ericoides var. mucosum,White heath aster
TANVUL,Tanacetum vulgare,Common tansy,
TARERY,Taraxacum erythrospermum,Red-seeded dandelion,
TAROFF,Taraxacum officinale,Common dandelion,
TATACA,,Tetraneuris acaulis,Stemless four-nerve daisy
TEPPAL,Tephroseris palustris,Marsh Ragwort,
TETACA,Tetraneuris acaulis,Stemless four-nerve daisy,
TEUCAN,Teucrium canadense,Germander,
THADAS,Thalictrum dasycarpum,Tall meadow rue,
THADIO,Thalictrum dioicum,Early meadow rue,
THAVEN,Thalictrum venulosum,Veiny meadow rue,
THERHO,Thermopsis rhombifolia,Goldenpea,
THLARV,Thlaspi arvense,Field pennycress,
TOXRAD,Toxicodendron radicans,Eastern poison ivy,
TOXRYD,Toxicodendron rydbergii,Western poison ivy,
TRABRA,Tradescantia bracteata,Long bracted spiderwort,
TRADUB,Tragopogon dubius,Yellow goat's beard,
TRAOCC,Tradescantia occidentalis,Prairie spiderwort,
TRIHYB,Trifolium hybridum,Alsike clover,
TRIINO,Tripleurospermum inodorum,Scentless false mayweed,
TRILEP,,Trifolium leptaleum,
TRIPRA,Trifolium pratense,Red clover,
TRIREP,Trifolium repens,White clover,
TYPLAT,Typha latifolia,Common cattail,
Unknown,,,
URTDIO,Urtica dioica,Stinging nettle,
VERBRA,,Verbena bracteata,Prostrate vervain
VERFAS,Vernonia fasciculata,Prairie ironweed,
VERHAS,Verbena hastata,Blue vervain,
VERSTR,Verbena stricta,Hoary vervain,
VERVIR,Veronicastrum virginicum,Culver's root,
VICAME,Vicia americana,American vetch,
VICSAT,Vicia sativa,Common vetch,
VIOADU,,Viola adunca,Early blue violet
VIONEP,Viola nephrophylla,Northern bog violet,
VIONUT,,Viola nuttallii,Nuttall's violet
VIOPED,Viola pedatifida,Prairie violet,
XANSPI,Xanthisma spinulosum,Cutleaf ironplant,
YUCGLA,Yucca glauca,Soapweed yucca,
ZIGELE,Zigadenus elegans,Elegant death camas,
ZIZAPT,Zizia aptera,Heart-leaved Alexanders,
ZIZAUR,Zizia aurea,Golden Alexanders,
grass,Poaceae,True Grasses,
Grass,Poaceae,True Grasses,
GRASS,Poaceae,True Grasses,
